country,level,gender,age_group,org_type,sector
Ethiopia,L3,Man,Under 35,Civil society,Agriculture & food
Bangladesh,L3,Man,Under 35,Government,Agriculture & food
Bangladesh,L3,Woman,35 and over,Government,Environment
Ethiopia,L3,Woman,Under 35,University & research,Health & nutrition
Ethiopia,L1,Woman,35 and over,Government,Agriculture & food
Ethiopia,L2,Woman,Under 35,Civil society,Health & nutrition
Vietnam,L2,Woman,Under 35,University & research,Agriculture & food
Vietnam,L3,Man,35 and over,Government,Agriculture & food
Bangladesh,L2,Man,35 and over,University & research,Health & nutrition
Vietnam,L1,Woman,35 and over,Civil society,Agriculture & food
Ethiopia,L1,Man,Under 35,Private sector,Agriculture & food
Bangladesh,L3,Man,Under 35,Government,Health & nutrition
Vietnam,L3,Woman,35 and over,Government,Education
Vietnam,L2,Woman,35 and over,Government,Health & nutrition
Vietnam,L3,Woman,Under 35,Civil society,Agriculture & food
Vietnam,L3,Man,35 and over,Private sector,Environment
Vietnam,L2,Man,35 and over,Government,Environment
Ethiopia,L3,Man,35 and over,Government,Environment
Bangladesh,L2,Man,35 and over,Civil society,Agriculture & food
Vietnam,L3,Man,35 and over,University & research,Agriculture & food
Ethiopia,L2,Man,35 and over,University & research,Agriculture & food
Bangladesh,L3,Man,35 and over,Private sector,Education
Vietnam,L2,Woman,Under 35,Government,Other
Ethiopia,L2,Man,35 and over,Government,Education
Bangladesh,L3,Woman,35 and over,Government,Agriculture & food
Vietnam,L3,Man,Under 35,Government,Environment
Ethiopia,L3,Woman,Under 35,Civil society,Education
Ethiopia,L3,Woman,35 and over,Government,Agriculture & food
Vietnam,L2,Man,35 and over,Government,Health & nutrition
Vietnam,L3,Man,35 and over,Government,Health & nutrition
Bangladesh,L3,Man,35 and over,Civil society,Other
Vietnam,L3,Man,Under 35,Civil society,Education
Bangladesh,L3,Man,Under 35,Civil society,Health & nutrition
Bangladesh,L2,Man,Under 35,Civil society,Other
Vietnam,L3,Woman,35 and over,Government,Agriculture & food
Ethiopia,L2,Woman,Under 35,Civil society,Industry
Ethiopia,L2,Man,Under 35,Civil society,Health & nutrition
Bangladesh,L3,Woman,35 and over,Civil society,Education
Bangladesh,L3,Woman,Under 35,University & research,Industry
Vietnam,L3,Woman,35 and over,Government,Health & nutrition
Ethiopia,L3,Man,35 and over,Government,Environment
Ethiopia,L3,Man,Under 35,Civil society,Health & nutrition
Vietnam,L2,Man,35 and over,Government,Agriculture & food
Ethiopia,L3,Woman,35 and over,Government,Health & nutrition
Vietnam,L3,Man,Under 35,Government,Environment
Ethiopia,L3,Man,35 and over,Government,Agriculture & food
Bangladesh,L3,Man,Under 35,University & research,Agriculture & food
Bangladesh,L3,Woman,35 and over,Multilateral,Education
Bangladesh,L2,Man,Under 35,Government,Health & nutrition
Bangladesh,L3,Man,35 and over,Government,Health & nutrition
Bangladesh,L3,Man,35 and over,Private sector,Health & nutrition
Vietnam,L3,Woman,35 and over,University & research,Health & nutrition
Vietnam,L3,Man,35 and over,Multilateral,Agriculture & food
Bangladesh,L3,Woman,35 and over,University & research,Industry
Bangladesh,L3,Man,35 and over,Civil society,Health & nutrition
Vietnam,L1,Man,Under 35,Government,Health & nutrition
Vietnam,L3,Woman,35 and over,Government,Education
Bangladesh,L3,Man,35 and over,Civil society,Education
Bangladesh,L3,Woman,Under 35,Civil society,Agriculture & food
Bangladesh,L3,Man,35 and over,University & research,Agriculture & food
Vietnam,L3,Woman,Under 35,University & research,Education
Ethiopia,L3,Man,35 and over,Government,Education
Bangladesh,L3,Man,Under 35,University & research,Education
Vietnam,L3,Woman,35 and over,University & research,Agriculture & food
Bangladesh,L3,Woman,35 and over,University & research,Health & nutrition
Bangladesh,L3,Man,35 and over,Government,Agriculture & food
Vietnam,L3,Man,Under 35,University & research,Agriculture & food
Ethiopia,L3,Woman,35 and over,Government,Health & nutrition
Ethiopia,L3,Woman,Under 35,University & research,Education
Ethiopia,L2,Man,Under 35,Government,Environment
Bangladesh,L2,Woman,Under 35,Government,Health & nutrition
Bangladesh,L3,Man,Under 35,Government,Agriculture & food
Bangladesh,L3,Woman,35 and over,Government,Agriculture & food
Bangladesh,L3,Man,Under 35,Government,Other
Vietnam,L3,Man,Under 35,Government,Industry
Bangladesh,L2,Woman,35 and over,University & research,Agriculture & food
Vietnam,L3,Woman,Under 35,Civil society,Agriculture & food
Vietnam,L3,Man,Under 35,Civil society,Agriculture & food
Vietnam,L3,Man,Under 35,Private sector,Health & nutrition
Bangladesh,L3,Man,Under 35,Government,Other
Vietnam,L3,Woman,35 and over,University & research,Health & nutrition
Bangladesh,L3,Man,35 and over,Government,Health & nutrition
Bangladesh,L1,Woman,Under 35,University & research,Agriculture & food
Bangladesh,L2,Woman,35 and over,Civil society,Agriculture & food
Bangladesh,L3,Man,35 and over,Multilateral,Industry
Vietnam,L3,Woman,35 and over,Civil society,Education
Vietnam,L3,Woman,Under 35,Government,Health & nutrition
Vietnam,L2,Man,Under 35,Government,Health & nutrition
Bangladesh,L2,Man,35 and over,University & research,Education
Ethiopia,L2,Man,Under 35,Government,Environment
Vietnam,L3,Woman,35 and over,Private sector,Agriculture & food
Vietnam,L3,Woman,Under 35,University & research,Agriculture & food
Bangladesh,L3,Man,Under 35,Government,Health & nutrition
Bangladesh,L2,Woman,Under 35,University & research,Health & nutrition
Bangladesh,L3,Woman,35 and over,Government,Education
Ethiopia,L3,Man,35 and over,Private sector,Health & nutrition
Bangladesh,L3,Man,35 and over,University & research,Agriculture & food
Bangladesh,L3,Man,35 and over,University & research,Health & nutrition
Ethiopia,L3,Man,35 and over,University & research,Health & nutrition
Bangladesh,L2,Man,35 and over,Government,Health & nutrition
Vietnam,L3,Man,35 and over,University & research,Health & nutrition
Bangladesh,L3,Man,Under 35,Government,Environment
Ethiopia,L3,Man,35 and over,Government,Other
Vietnam,L3,Woman,Under 35,University & research,Other
